,Canción,Artista,Lanzamiento,Género,Emoción inicial,Conocimiento,Familia,Emoción primaria,Emoción secundaria,Emoción Terciaria,Agrado,Escuela,Academia,Sexo,Edad,Español,Inglés,Francés,Catalán
40,¿Cómo le hacemos?,Yuri,2017,Pop,Tedio,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Agitado,Lacrimoso,Agitado,87,N/R,N/R,N/R,N/R,N/R,N/R,N/R,N/R
41,¿Cómo le hacemos?,Yuri,2017,Pop,Serenidad,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Sereno,Calmado,Agradable,69,Escuela privada,Ciencias naturales y aplicadas,Femenino,24-26,Avanzado,Avanzado,Nulo,Nulo
42,¿Cómo le hacemos?,Yuri,2017,Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,Alegría,92,Escuela privada,Negocios,Femenino,21-23,Avanzado,Avanzado,Básico,Nulo
43,¿Cómo le hacemos?,Yuri,2017,Pop,Serenidad,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Resiliente,Enérgico,Intenso,69,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Básico,Nulo
44,¿Cómo le hacemos?,Yuri,2017,Pop,Sorpresa,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Calmado,Sentimental,Conmovedor,81,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
45,¿Cómo le hacemos?,Yuri,2017,Pop,Sorpresa,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,Intenso,92,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Nulo,Nulo
46,¿Cómo le hacemos?,Yuri,2017,Pop,Alegría,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Conmovedor,Asombroso,Fascinante,71,Escuela privada,No aplica,Masculino,24-26,Intermedio,Intermedio,Básico,Nulo
47,¿Cómo le hacemos?,Yuri,2017,Pop,Interés,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Triunfante,Animado,83,Escuela privada,Ciencias naturales y aplicadas,Masculino,24-26,Avanzado,Avanzado,Básico,Nulo
48,¿Cómo le hacemos?,Yuri,2017,Pop,Alegría,FALSE,Malestar (Problemas; miseria; estado o condición incómoda),Agitado,,,19,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Avanzado,Avanzado,Básico,Básico
49,¿Cómo le hacemos?,Yuri,2017,Pop,Alegría,FALSE,Sublimidad (Exaltación del sentimiento o estilo; inmensidad; majestuosidad),Agradable,Cautivador,Fascinante,100,Escuela privada,Negocios,Masculino,21-23,Avanzado,Avanzado,Básico,Nulo
50,¿Cómo le hacemos?,Yuri,2017,Pop,Distracción,FALSE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,Intenso,100,Escuela privada,Ciencias naturales y aplicadas,No binario,21-23,Avanzado,Intermedio,Nulo,Nulo
51,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Alegría,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Enérgico,Animado,,90,Escuela privada,Ciencias naturales y aplicadas,Masculino,18-20,Avanzado,Intermedio,Nulo,Nulo
52,All About That Bass,Meghan Trainor,2014,Bubblegum Pop,Tristeza,TRUE,Vitalidad (Vigor físico o intelectual; energía o vivacidad),Triunfante,,,20,Escuela privada,Ciencias naturales y aplicadas,Masculino,21-23,Intermedio,Intermedio,Nulo,Nulo
